#sent,#word,word,true_pos,true_ner,predict_ner,is_error
0,0,6,M,O,O,0
0,1,ngư,N,O,O,0
0,2,dân,N,O,LOC,1
0,3,Quảng,Np,LOC,LOC,0
0,4,Ngãi,Np,LOC,LOC,0
0,5,trên,A,O,O,0
0,6,tàu,N,O,O,0
0,7,cá,N,O,O,0
0,8,bị,V,O,O,0
0,9,nạn,N,O,O,0
0,10,đã,R,O,O,0
0,11,được,V,O,O,0
0,12,cứu,V,O,O,0
0,13,hộ,N,O,O,0
0,14,vào,V,O,O,0
0,15,bờ,N,O,O,0
0,16,an,A,O,O,0
0,17,toàn,R,O,O,0
1,0,Sáng,N,O,O,0
1,1,22,M,O,O,0
1,2,/,F,O,O,0
1,3,9,M,O,O,0
1,4,",",F,O,O,0
1,5,Trạm,Np,LOC,O,1
1,6,Biên,Np,LOC,O,1
1,7,phòng,N,LOC,O,1
1,8,Mũi,Np,LOC,LOC,0
1,9,Tấn,Np,LOC,LOC,0
1,10,(,F,O,O,0
1,11,TP,Np,LOC,LOC,0
1,12,Quy,Np,LOC,LOC,0
1,13,Nhơn,Np,LOC,LOC,0
1,14,",",F,O,O,0
1,15,Bình,Np,LOC,LOC,0
1,16,Định,Np,LOC,LOC,0
1,17,),F,O,O,0
1,18,đã,R,O,O,0
1,19,tiếp,V,O,O,0
1,20,nhận,V,O,O,0
1,21,6,M,O,O,0
1,22,ngư,N,O,O,0
1,23,dân,N,O,LOC,1
1,24,Quảng,Np,LOC,LOC,0
1,25,Ngãi,Np,LOC,LOC,0
1,26,trên,A,O,O,0
1,27,tàu,N,O,O,0
1,28,cá,N,O,O,0
1,29,bị,V,O,O,0
1,30,nạn,N,O,O,0
1,31,mang,V,O,O,0
1,32,số,N,O,O,0
1,33,hiệu,N,O,O,0
1,34,QNg,N,O,O,0
1,35,95183,M,O,O,0
1,36,TS,Np,O,O,0
1,37,(,F,O,O,0
1,38,823,M,O,O,0
1,39,CV,Np,O,O,0
1,40,),F,O,O,0
1,41,được,V,O,O,0
1,42,đưa,V,O,O,0
1,43,vào,V,O,O,0
1,44,bờ,N,O,O,0
1,45,an,A,O,O,0
1,46,toàn,R,O,O,0
1,47,.,F,O,O,0
2,0,Ngư,Np,O,LOC,1
2,1,dân,N,O,LOC,1
2,2,Quảng,Np,LOC,LOC,0
2,3,Ngãi,Np,LOC,LOC,0
2,4,trên,A,O,O,0
2,5,tàu,N,O,O,0
2,6,cá,N,O,O,0
2,7,bị,V,O,O,0
2,8,nạn,N,O,O,0
2,9,được,V,O,O,0
2,10,BĐBP,Np,ORG,ORG,0
2,11,Bình,Np,ORG,ORG,0
2,12,Định,Np,ORG,ORG,0
2,13,thăm,V,O,O,0
2,14,khám,V,O,O,0
2,15,sức,N,O,O,0
2,16,khỏe,A,O,O,0
6,0,ĐÌNH,N,PER,O,1
6,1,THUNG,Np,PER,O,1
9,0,Thời,N,O,O,0
9,1,gian,N,O,O,0
9,2,qua,V,O,O,0
9,3,",",F,O,O,0
9,4,Sở,N,ORG,ORG,0
9,5,Giao,V,ORG,ORG,0
9,6,thông,V,ORG,ORG,0
9,7,vận,N,ORG,ORG,0
9,8,tải,V,ORG,ORG,0
9,9,Hà,Np,ORG,ORG,0
9,10,nội,N,ORG,ORG,0
9,11,đã,R,O,O,0
9,12,đã,R,O,O,0
9,13,triển,N,O,O,0
9,14,khai,V,O,O,0
9,15,nhiều,A,O,O,0
9,16,nội,N,O,O,0
9,17,dung,N,O,O,0
9,18,",",F,O,O,0
9,19,kế,A,O,O,0
9,20,hoạch,N,O,O,0
9,21,ra,V,O,O,0
9,22,quân,N,O,O,0
9,23,để,V,O,O,0
9,24,chấn,N,O,O,0
9,25,chỉnh,V,O,O,0
9,26,",",F,O,O,0
9,27,xử,V,O,O,0
9,28,lý,N,O,O,0
9,29,các,L,O,O,0
9,30,xe,N,O,O,0
9,31,khách,N,O,O,0
9,32,vi,N,O,O,0
9,33,phạm,N,O,O,0
9,34,trong,A,O,O,0
9,35,hoạt,N,O,O,0
9,36,động,N,O,O,0
9,37,kinh,N,O,O,0
9,38,doanh,N,O,O,0
9,39,vận,N,O,O,0
9,40,tải,V,O,O,0
9,41,.,F,O,O,0
9,42,Trong,Np,O,O,0
9,43,quá,R,O,O,0
9,44,trình,V,O,O,0
9,45,kiểm,V,O,O,0
9,46,tra,V,O,O,0
9,47,và,C,O,O,0
9,48,giám,N,O,O,0
9,49,sát,A,O,O,0
9,50,",",F,O,O,0
9,51,Sở,N,O,ORG,1
9,52,Giao,V,O,ORG,1
9,53,thông,V,O,ORG,1
9,54,vận,N,O,ORG,1
9,55,tải,V,O,ORG,1
9,56,đã,R,O,O,0
9,57,phát,V,O,O,0
9,58,hiện,N,O,O,0
9,59,nhiều,A,O,O,0
9,60,xe,N,O,O,0
9,61,khách,N,O,O,0
9,62,vi,N,O,O,0
9,63,phạm,N,O,O,0
9,64,với,N,O,O,0
9,65,các,L,O,O,0
9,66,lỗi,N,O,O,0
9,67,như,C,O,O,0
9,68,chạy,V,O,O,0
9,69,“,F,O,O,0
9,70,rùa,N,O,O,0
9,71,bò,N,O,O,0
9,72,”,F,O,O,0
9,73,để,V,O,O,0
9,74,bắt,V,O,O,0
9,75,khách,N,O,O,0
9,76,",",F,O,O,0
9,77,biến,V,O,O,0
9,78,lòng,N,O,O,0
9,79,đường,N,O,O,0
9,80,thành,V,O,O,0
9,81,bến,N,O,O,0
9,82,cóc,N,O,O,0
9,83,",",F,O,O,0
9,84,thiết,V,O,O,0
9,85,bị,V,O,O,0
