#sent,#word,word,true_pos,true_ner,predict_ner,is_error
83,0,Nơi,N,O,O,0
83,1,đầu_tiên,A,O,O,0
83,2,Minh,Np,B-PER,B-PER,0
83,3,đưa,V,O,O,0
83,4,chúng_tôi,N,O,O,0
83,5,đến,V,O,O,0
83,6,là,V,O,O,0
83,7,chợ,N,O,B-LOC,1
83,8,quần_áo,N,O,I-LOC,1
83,9,Bạc_Má,Np,B-LOC,I-LOC,1
83,10,",",F,O,O,0
83,11,“,F,O,O,0
83,12,chợ,N,O,O,0
83,13,bán,V,O,O,0
83,14,quần_áo,N,O,O,0
83,15,sầm_uất,A,O,O,0
83,16,nhất,A,O,O,0
83,17,",",F,O,O,0
83,18,đông,A,O,O,0
83,19,khách,N,O,O,0
83,20,nhất,A,O,O,0
83,21,ở,V,O,O,0
83,22,khu_vực,N,O,O,0
83,23,Đông_Sơn,Np,B-LOC,B-LOC,0
83,24,của,N,O,O,0
83,25,thành_phố,N,B-LOC,B-LOC,0
83,26,Quảng_Châu,Np,I-LOC,I-LOC,0
83,27,”,F,O,O,0
83,28,.,F,O,O,0
94,0,“,F,O,O,0
94,1,Mua,V,O,O,0
94,2,đi,V,O,O,0
94,3,",",F,O,O,0
94,4,veste,N,O,O,0
94,5,này,P,O,O,0
94,6,may,V,O,O,0
94,7,kiểu,N,O,O,0
94,8,mới,R,O,O,0
94,9,nhất,A,O,O,0
94,10,của,N,O,O,0
94,11,Valentino,Np,B-ORG,B-LOC,1
94,12,đấy,N,O,O,0
94,13,”,F,O,O,0
94,14,-,F,O,O,0
94,15,Minh,Np,B-PER,B-PER,0
94,16,phiên_dịch,V,O,O,0
94,17,theo,V,O,O,0
94,18,lời,N,O,O,0
94,19,của,N,O,O,0
94,20,cô,N,O,O,0
94,21,bán,V,O,O,0
94,22,hàng,N,O,O,0
94,23,đứng,V,O,O,0
94,24,làm,V,O,O,0
94,25,mẫu,N,O,O,0
94,26,.,F,O,O,0
96,0,Tôi,Np,O,O,0
96,1,lật,V,O,O,0
96,2,thử,V,O,O,0
96,3,bên,N,O,O,0
96,4,trong,A,O,O,0
96,5,thấy,V,O,O,0
96,6,đường,N,O,O,0
96,7,may,V,O,O,0
96,8,rất,R,O,O,0
96,9,sắc_sảo,A,O,O,0
96,10,",",F,O,O,0
96,11,miếng,N,O,O,0
96,12,vải,N,O,O,0
96,13,lớp,N,O,O,0
96,14,túi,N,O,O,0
96,15,lót,V,O,O,0
96,16,in,V,O,O,0
96,17,mờ,A,O,O,0
96,18,tên,N,O,O,0
96,19,“,F,O,O,0
96,20,Valentino,Np,B-ORG,B-LOC,1
96,21,”,F,O,O,0
96,22,",",F,O,O,0
96,23,các,L,O,O,0
96,24,tem,N,O,O,0
96,25,size,N,O,O,0
96,26,",",F,O,O,0
96,27,bảng,N,O,O,0
96,28,hướng_dẫn,V,O,O,0
96,29,giặt,V,O,O,0
96,30,",",F,O,O,0
96,31,nút,N,O,O,0
96,32,dự_phòng,V,O,O,0
96,33,...,F,O,O,0
96,34,đều,R,O,O,0
96,35,đầy_đủ,A,O,O,0
96,36,các,L,O,O,0
96,37,đặc_điểm,N,O,O,0
96,38,mà,C,O,O,0
96,39,thương_hiệu,N,O,O,0
96,40,này,P,O,O,0
96,41,hay,C,O,O,0
96,42,sử_dụng,V,O,O,0
96,43,.,F,O,O,0
97,0,Đâu,Np,O,O,0
97,1,chỉ,R,O,O,0
97,2,Valentino,Np,B-ORG,B-LOC,1
97,3,",",F,O,O,0
97,4,từ,N,O,O,0
97,5,các,L,O,O,0
97,6,thương_hiệu,N,O,O,0
97,7,nổi_tiếng,A,O,O,0
97,8,như,C,O,O,0
97,9,Mango,Np,B-ORG,B-LOC,1
97,10,",",F,O,O,0
97,11,Milano,Np,B-ORG,B-LOC,1
97,12,",",F,O,O,0
97,13,Versace,Np,B-ORG,B-LOC,1
97,14,...,F,O,O,0
97,15,đến,V,O,O,0
97,16,những,L,O,O,0
97,17,thương_hiệu,N,O,O,0
