,tokens,true_tags,pred_tags
0,"['Hội', 'nghị', 'đã', 'cơ', 'bản', 'thông', 'qua', 'Bản', 'khuyến', 'nghị', 'Vinh', 'gồm', '11', 'điểm', 'để', 'trình', 'lên', 'Hội', 'nghị', 'cấp', 'cao', 'của', 'diễn', 'đàn', 'hợp', 'tác', 'kinh', 'tế', 'châu', 'Á', '-', 'Thái', 'Bình', 'Dương', '(', 'APEC', ')', 'tại', 'Việt', 'Nam', 'năm', '2017', ',', 'tập', 'trung', 'vào', 'một', 'số', 'vấn', 'đề', 'chính', ':', 'Triển', 'khai', 'những', 'giải', 'pháp', 'khoa', 'học', ',', 'công', 'nghệ', 'mới', 'để', 'hỗ', 'trợ', 'quá', 'trình', 'ra', 'quyết', 'định', 'trong', 'công', 'tác', 'phòng', ',', 'chống', 'thiên', 'tai', 'và', 'thích', 'ứng', 'với', 'biến', 'đổi', 'khí', 'hậu', ';', 'Thúc', 'đẩy', 'nghiên', 'cứu', ',', 'ứng', 'dụng', 'giảm', 'thiểu', 'các', 'tác', 'động', 'của', 'hiện', 'tượng', 'thiên', 'tai', '“', 'Bình', 'thường', 'mới', '”', ',', 'nhất', 'là', 'xói', 'mòn', 'bờ', 'sông', '/', 'bờ', 'biển', ',', 'mưa', 'lớn', ',', 'sạt', 'lở', 'đất', ',', 'lũ', 'quét', ',', 'siêu', 'bão', ',', 'động', 'đất', ',', 'xâm', 'nhập', 'mặn', ';', 'Ưu', 'tiên', 'đầu', 'tư', 'cho', 'hạ', 'tầng', 'công', 'nghệ', 'thông', 'tin', 'và', 'truyền', 'thông', 'để', 'tăng', 'cường', 'công', 'tác', 'dự', 'báo', ',', 'cảnh', 'báo', 'thiên', 'tai', ';', 'Tăng', 'cường', 'ứng', 'dụng', 'khoa', 'học', 'công', 'nghệ', 'trong', 'quản', 'lý', 'rủi', 'ro', 'thiên', 'tai', 'dựa', 'vào', 'cộng', 'đồng', ',', 'đặc', 'biệt', 'là', 'tại', 'cấp', 'cơ', 'sở', ';', 'Tăng', 'cường', 'hợp', 'tác', 'xuyên', 'APEC', 'của', 'các', 'nền', 'kinh', 'tế', 'về', 'chia', 'sẻ', 'kiến', 'thức', 'về', 'giảm', 'thiểu', 'rủi', 'ro', 'thiên', 'tai', 'để', 'thực', 'hiện', 'Khung', 'giảm', 'thiểu', 'rủi', 'ro', 'thiên', 'tai', 'phù', 'hợp', 'với', 'các', 'vấn', 'đề', 'an', 'ninh', 'lương', 'thực', ',', 'khoa', 'học', 'và', 'công', 'nghệ', ',', 'biến', 'đổi', 'khí', 'hậu', '…']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"['Sau', 'bão', 'số', '10', ',', 'các', 'giếng', 'khoan', ',', 'giếng', 'khơi', 'ở', 'nhiều', 'thôn', 'xóm', 'ven', 'biển', 'tại', 'thị', 'xã', 'Kỳ', 'Anh', ',', 'tỉnh', 'Hà', 'Tĩnh', 'nhiễm', 'phèn', ',', 'nhiễm', 'mặn', '.', 'Thiếu', 'nước', 'sinh', 'hoạt', ',', 'cuộc', 'sống', 'người', 'dân', 'vẫn', 'chưa', 'ổn', 'định', 'trở', 'lại', '.', 'Trung', 'tâm', 'cấp', 'nước', 'Khu', 'kinh', 'tế', 'Vũng', 'Áng', 'Hà', 'Tĩnh', 'đã', 'đặt', 'nhiều', 'điểm', 'cấp', 'nước', 'miễn', 'phí', 'tại', 'đây', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,"['“', 'Xe', 'dưới', '9', 'chỗ', 'đi', 'hết', 'tuyến', 'từ', '45.000', 'đồng', '/', 'lượt', 'sẽ', 'giảm', 'xuống', 'còn', '35.000', 'đồng', '/', 'lượt', '.', 'Nhà', 'đầu', 'tư', 'sẽ', 'chủ', 'động', 'chuẩn', 'bị', 'các', 'thủ', 'tục', 'về', 'thu', 'phí', 'để', 'mức', 'giảm', 'giá', 'được', 'thực', 'hiện', 'đúng', 'thời', 'điểm', ',', '”', 'ông', 'Khôi', 'cho', 'hay', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'O', 'O', 'O']"
3,"['Tham', 'dự', 'buổi', 'lễ', 'có', 'đồng', 'chí', 'đồng', 'Lê', 'Hồng', 'Quang', '-', 'Ủy', 'viên', 'Trung', 'ương', 'Đảng', ',', 'Phó', 'Chánh', 'án', 'TANDTC', ';', 'đồng', 'chí', 'Nguyễn', 'Thanh', 'Tùng', '–', 'Vụ', 'trưởng', 'vụ', 'công', 'tác', 'phía', 'nam', 'TANDTC', ';', 'đồng', 'chí', 'Điểu', 'K', '’', 'ré', ',', 'Ủy', 'viên', 'Trung', 'ường', 'Đảng', ',', 'Phó', 'Ban', 'thường', 'trực', 'Ban', 'chỉ', 'đạo', 'Tây', 'Nguyên', ';', 'đồng', 'chí', 'Trần', 'Xuân', 'Hải', '–', 'Phó', 'Chủ', 'tịch', 'thường', 'trực', 'UBND', 'tỉnh', 'Đắk', 'Nông', ';', 'đồng', 'chí', 'Ngô', 'Đức', 'Thọ', '-', 'Chánh', 'án', 'TAND', 'tỉnh', 'Đắk', 'Nông', 'cùng', 'toàn', 'thể', 'cán', 'bộ', 'tòa', 'án', 'tỉnh', 'Đắk', 'Nông', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'O']"
4,"['Dự', 'báo', 'thời', 'tiết', 'ngày', '23', '/', '9', ':', 'Các', 'tỉnh', 'khu', 'vực', 'Nam', 'Tây', 'Nguyên', 'và', 'khu', 'vực', 'Nam', 'Bộ', 'tiếp', 'tục', 'có', 'mưa', 'vừa', ',', 'mưa', 'to', '.', 'Từ', 'ngày', '25', '/', '9', 'mưa', 'có', 'xu', 'hướng', 'giảm', 'dần', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'O', 'O', 'O', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'O', 'O', 'O', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Được', 'biết', ',', 'loại', 'hình', 'xổ', 'số', 'điện', 'toán', 'Vietlott', 'đã', 'có', 'mặt', 'tại', '3', 'tỉnh', ',', 'thành', 'phố', 'mới', 'là', 'Nghệ', 'An', ',', 'Hà', 'Nam', 'và', 'Thừa', 'Thiên', '-', 'Huế', '.', 'Như', 'vậy', ',', 'tính', 'đến', 'thời', 'điểm', 'hiện', 'tại', ',', 'xổ', 'số', 'Vietlott', 'đang', 'triển', 'khai', 'tại', '15', 'tỉnh', 'thành', 'trên', 'cả', 'nước', 'bao', 'gồm', '3', 'thành', 'phố', 'kể', 'trên', 'và', 'các', 'tỉnh', ',', 'thành', ':', 'TP.', 'Hồ', 'Chí', 'Minh', ',', 'Đắk', 'Lắk', ',', 'thành', 'phố', 'Đà', 'Nẵng', ',', 'thành', 'phố', 'Hà', 'Nội', ',', 'thành', 'phố', 'Hải', 'Phòng', ',', 'tỉnh', 'Quảng', 'Ninh', ',', 'TP.', 'Cần', 'Thơ', ',', 'An', 'Giang', ',', 'Bình', 'Dương', ',', 'Đồng', 'Nai', ',', 'Bà', 'Rịa', '-', 'Vũng', 'Tàu', ',', 'Khánh', 'Hòa', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'LOC', 'LOC', 'O']"
6,"['Môn', 'cầu', 'lông', ':', 'Giải', 'Nhất', 'đôi', 'nam', 'thuộc', 'về', 'cặp', 'đôi', 'VĐV', 'Bộ', 'Tham', 'mưu', ',', 'giải', 'Nhì', 'đôi', 'nam', 'thuộc', 'về', 'cặp', 'đôi', 'VĐV', 'Văn', 'phòng', 'Bộ', 'Tư', 'lệnh', 'BĐBP', ';', 'giải', 'Ba', 'đôi', 'nam', 'thuộc', 'về', 'cặp', 'đôi', 'VĐV', 'Cục', 'Cửa', 'khẩu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'O']"
7,"['Năm', '2014', ',', 'Bộ', 'GTVT', 'đã', 'lập', 'và', 'phê', 'duyệt', 'dự', 'án', 'cải', 'tạo', ',', 'nâng', 'cấp', 'đường', 'cao', 'tốc', 'Pháp', 'Vân', '-', 'Cầu', 'Giẽ', ',', 'chia', 'thành', '2', 'giai', 'đoạn', 'thực', 'hiện', 'với', 'tổng', 'vốn', 'hơn', '6.700', 'tỷ', 'đồng', '.', 'Giai', 'đoạn', '1', 'cải', 'tạo', 'nâng', 'cấp', 'mặt', 'đường', 'cũ', '4', 'làn', 'xe', ';', 'Giai', 'đoạn', '2', 'xây', 'dựng', 'hoàn', 'chỉnh', 'đường', 'cao', 'tốc', '6', 'làn', 'xe', '.']","['O', 'O', 'O', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'LOC', 'LOC', 'LOC', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['Ngày', '22', '/', '9', ',', 'tại', 'thành', 'phố', 'Huế', ',', 'Cục', 'Cảnh', 'sát', 'giao', 'thông', ',', 'Bộ', 'Công', 'an', 'phối', 'hợp', 'Công', 'an', 'Thừa', 'Thiên', '-', 'Huế', 'tổ', 'chức', 'Hội', 'nghị', 'triển', 'khai', 'đảm', 'bảo', 'an', 'toàn', 'giao', 'thông', '–', 'trật', 'tự', 'xã', 'hội', 'và', 'công', 'tác', 'dẫn', 'đoàn', 'phục', 'vụ', 'Hội', 'nghị', 'Diễn', 'đàn', 'Phụ', 'nữ', 'và', 'Kinh', 'tế', 'APEC', '2017', ',', 'diễn', 'ra', 'tại', 'thành', 'phố', 'Huế', 'từ', 'ngày', '26', '-', '29', '/', '9', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'ORG', 'ORG', 'ORG', 'O', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'ORG', 'ORG', 'ORG', 'O', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,"['Bộ', 'Công', 'an', 'yêu', 'cầu', 'các', 'đơn', 'vị', 'phải', 'chủ', 'động', 'tham', 'mưu', 'xây', 'dựng', 'các', 'phương', 'án', ',', 'kế', 'hoạch', ',', 'chuẩn', 'bị', 'lực', 'lượng', ',', 'phương', 'tiện', ',', 'phối', 'hợp', '…', 'đảm', 'bảo', 'an', 'ninh', ',', 'an', 'toàn', 'tuyệt', 'đối', 'cho', 'các', 'đại', 'biểu', 'và', 'các', 'đoàn', 'đại', 'biểu', 'cấp', 'cao', 'của', 'Đảng', 'và', 'Nhà', 'nước', 'đến', 'Huế', 'tham', 'dự', 'hội', 'nghị', '.']","['LOC', 'LOC', 'LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'O', 'O', 'O', 'O', 'O']","['ORG', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOC', 'O', 'O', 'O', 'O', 'O']"
