#sent,#word,word,true_pos,true_ner,predict_ner,is_error
0,0,DxOMark,N,PRODUCT,PRODUCT,0
0,1,iPhone,N,PRODUCT,PRODUCT,0
0,2,8,M,PRODUCT,PRODUCT,0
0,3,8,M,PRODUCT,PRODUCT,0
0,4,Plus,Np,PRODUCT,PRODUCT,0
0,5,là,V,O,O,0
0,6,smartphone,N,O,O,0
0,7,có,V,O,O,0
0,8,camera,N,O,PRODUCT,1
0,9,tốt,A,O,O,0
0,10,nhất,A,O,O,0
0,11,.,F,O,O,0
1,0,Chuyên,A,O,O,0
1,1,trang,N,O,O,0
1,2,đánh,V,O,O,0
1,3,giá,N,O,O,0
1,4,DxOMark,N,PRODUCT,O,1
1,5,nhận,V,O,O,0
1,6,định,V,O,O,0
1,7,iPhone,N,PRODUCT,PRODUCT,0
1,8,8,M,PRODUCT,PRODUCT,0
1,9,8,M,PRODUCT,PRODUCT,0
1,10,Plus,Np,PRODUCT,PRODUCT,0
1,11,là,V,O,O,0
1,12,smartphone,N,O,O,0
1,13,có,V,O,O,0
1,14,khả,N,O,O,0
1,15,năng,N,O,O,0
1,16,chụp,V,O,O,0
1,17,ảnh,N,O,O,0
1,18,đẹp,A,O,O,0
1,19,nhất,A,O,O,0
1,20,hiện,N,O,O,0
1,21,nay,N,O,O,0
1,22,",",F,O,O,0
1,23,vượt,V,O,O,0
1,24,mặt,N,O,O,0
1,25,cả,T,O,O,0
1,26,HTC,Np,PRODUCT,PRODUCT,0
1,27,U11,Np,PRODUCT,PRODUCT,0
1,28,và,C,O,O,0
1,29,Google,Np,PRODUCT,PRODUCT,0
1,30,Pixel,Np,PRODUCT,PRODUCT,0
1,31,.,F,O,O,0
2,0,Camera,Np,O,PRODUCT,1
2,1,trên,A,O,O,0
2,2,iPhone,N,ORGANIZATION,O,1
2,3,luôn,R,O,O,0
2,4,được,V,O,O,0
2,5,đánh,V,O,O,0
2,6,giá,N,O,O,0
2,7,cao,A,O,O,0
2,8,.,F,O,O,0
2,9,Nhưng,C,O,O,0
2,10,với,N,O,O,0
2,11,iPhone,N,PRODUCT,PRODUCT,0
2,12,8,M,PRODUCT,PRODUCT,0
2,13,8,M,PRODUCT,PRODUCT,0
2,14,Plus,Np,PRODUCT,PRODUCT,0
2,15,còn,R,O,O,0
2,16,làm,V,O,O,0
2,17,được,V,O,O,0
2,18,nhiều,A,O,O,0
2,19,hơn,A,O,O,0
2,20,thế,N,O,O,0
2,21,:,F,O,O,0
2,22,Đưa,V,O,O,0
2,23,nó,N,O,O,0
2,24,trở,V,O,O,0
2,25,thành,V,O,O,0
2,26,smartphone,N,O,O,0
2,27,sở,N,O,O,0
2,28,hữu,A,O,O,0
2,29,camera,N,O,PRODUCT,1
2,30,tốt,A,O,O,0
2,31,nhất,A,O,O,0
2,32,.,F,O,O,0
2,33,Với,Np,O,O,0
2,34,94,M,QUANTITY,QUANTITY,0
2,35,điểm,N,O,O,0
2,36,dành,V,O,O,0
2,37,cho,V,O,O,0
2,38,iPhone,N,PRODUCT,PRODUCT,0
2,39,8,M,PRODUCT,PRODUCT,0
2,40,Plus,Np,PRODUCT,PRODUCT,0
2,41,và,C,O,O,0
2,42,92,M,QUANTITY,QUANTITY,0
2,43,điểm,N,O,O,0
2,44,cho,V,O,O,0
2,45,iPhone,N,PRODUCT,PRODUCT,0
2,46,8,M,PRODUCT,PRODUCT,0
2,47,bộ,N,O,O,0
2,48,đôi,M,O,O,0
2,49,Táo,Np,PRODUCT,PERSON,1
2,50,Khuyết,Np,PRODUCT,PERSON,1
2,51,chia,V,O,O,0
2,52,nhau,N,O,O,0
2,53,ngôi,N,O,O,0
2,54,nhất,A,O,O,0
2,55,và,C,O,O,0
2,56,nhì,A,O,O,0
2,57,trên,A,O,O,0
2,58,bảng,N,O,O,0
2,59,xếp,V,O,O,0
2,60,hạng,N,O,O,0
2,61,camera,N,O,O,0
2,62,cho,V,O,O,0
2,63,smartphone,N,O,O,0
2,64,của,N,O,O,0
2,65,DxOMark,N,PRODUCT,O,1
2,66,hiện,N,O,O,0
2,67,tại,N,O,O,0
2,68,.,F,O,O,0
3,0,Kết,Np,O,O,0
3,1,quả,N,O,O,0
3,2,này,P,O,O,0
3,3,khá,R,O,O,0
3,4,bất,N,O,O,0
3,5,ngờ,V,O,O,0
3,6,khi,N,O,O,0
3,7,trước,A,O,O,0
3,8,đó,N,O,O,0
3,9,HTC,Np,PRODUCT,PERSON,1
3,10,U11,Np,PRODUCT,PERSON,1
3,11,hay,C,O,O,0
3,12,Google,Np,PRODUCT,PRODUCT,0
3,13,Pixel,Np,PRODUCT,PRODUCT,0
3,14,vốn,N,O,O,0
3,15,được,V,O,O,0
3,16,đánh,V,O,O,0
3,17,giá,N,O,O,0
3,18,rất,R,O,O,0
3,19,cao,A,O,O,0
3,20,",",F,O,O,0
3,21,trong,A,O,O,0
3,22,khi,N,O,O,0
3,23,iPhone,N,ORGANIZATION,O,1
3,24,mới,R,O,O,0
3,25,lại,R,O,O,0
3,26,không,R,O,O,0
3,27,được,V,O,O,0
3,28,Apple,Np,ORGANIZATION,ORGANIZATION,0
3,29,nhấn,V,O,O,0
3,30,mạnh,A,O,O,0
3,31,vào,V,O,O,0
3,32,bất,N,O,O,0
3,33,kỳ,N,O,O,0
3,34,sự,N,O,O,0
3,35,nâng,V,O,O,0
3,36,cấp,N,O,O,0
